obs border coord
14-001027 350 S
15-000516 350 N
15-000516 350 S
18-000877 350 N
18-000877 350 S
21-002004 350 N
21-002004 350 S
21-002112 350 N
21-002112 350 S
21-002775 350 N
21-002775 350 S
21-002785 350 N
21-002785 350 S
22-001874 350 N
22-001874 350 S
23-001764 350 N
23-001764 350 S
23-002236 350 N
23-002236 350 S
24-002141 350 S
24-002911 350 S
02-000239 375 N
04-000512 400 N
06-000606 400 N
06-000606 400 S
07-000331 400 N
08-000579 400 N
10-000541 400 N
10-000541 400 S
11-001283 400 N
11-001283 400 S
11-001554 400 N
11-001554 400 S
13-001053 400 N
13-001053 400 S
14-000894 400 N
14-000894 400 S
14-000958 400 S
14-001286 400 N
14-001286 400 S
14-001385 400 N
14-001385 400 S
15-000671 400 N
15-000671 400 S
19-001839 400 N
19-001839 400 S
19-001846 400 N
19-001846 400 S
19-001998 400 N
19-001998 400 S
21-002368 400 N
21-002368 400 S
21-002926 400 N
21-002926 400 S
22-002074 400 S
22-002337 400 N
23-001561 400 N
23-001561 400 S
23-002376 400 N
23-002376 400 S
23-002480 400 N
23-002480 400 S
25-001535 400 N
25-001535 400 S
04-000552 450 N
04-000552 450 S
04-000793 450 N
04-000793 450 S
21-001757 450 N
21-001757 450 S
22-001739 450 N
22-001739 450 S
24-001858 450 S
04-000558 500 N
04-000558 500 S
04-000824 500 N
04-000824 500 S
04-001023 500 N
04-001023 500 S
06-000646 500 N
07-000418 500 N
08-000340 500 N
08-000340 500 S
16-002125 500 N
20-001961 500 N
20-001961 500 S
21-002060 500 N
21-002060 500 S
22-002699 500 S
24-001870 500 N
24-001870 500 S
24-002106 500 S
24-002480 500 N
24-002480 500 S
04-000983 550 N
04-000983 550 S
06-000371 600 N
06-000371 600 S
06-000410 600 N
06-000466 600 N
14-000783 600 N
14-000783 600 S
14-000810 600 N
14-000810 600 S
19-001831 600 N
19-001831 600 S
20-001585 600 N
20-001585 600 S
06-000324 700 N
06-000324 700 S
14-000723 700 N
14-000723 700 S
14-000732 750 N
14-000732 750 S
14-000645 800 N
14-000645 800 S
18-001232 200 N
18-001232 250 S
04-000755 200 N
04-000755 300 S
10-001245 200 N
10-001245 300 S
20-002510 200 N
20-002510 300 S
17-000526 200 N
17-000526 350 S
22-002172 200 N
22-002172 350 S
24-002051 200 N
24-002051 350 S
15-000365 200 N
15-000365 400 S
19-001420 200 N
19-001420 600 S
23-002799 250 N
23-002799 300 S
18-000670 250 N
18-000670 400 S
23-002711 300 N
23-002711 150 S
04-000896 300 N
04-000896 175 S
16-002829 300 N
16-002829 250 S
21-002348 300 N
21-002348 400 S
22-002788 300 N
22-002788 400 S
23-001553 300 N
23-001553 400 S
23-002868 300 N
23-002868 400 S
23-001958 300 N
23-001958 450 S
22-001381 300 N
22-001381 500 S
19-001376 350 N
19-001376 500 S
03-000342 400 N
03-000342 200 S
07-000423 400 N
07-000423 200 S
05-001861 400 N
05-001861 250 S
24-002424 400 N
24-002424 250 S
10-001138 400 N
10-001138 300 S
14-001083 400 N
14-001083 300 S
20-001739 400 N
20-001739 300 S
20-001908 400 N
20-001908 300 S
23-002882 400 N
23-002882 300 S
23-002277 400 N
23-002277 350 S
25-002387 450 N
25-002387 200 S
24-001772 500 N
24-001772 200 S
08-000343 500 N
08-000343 250 S
20-001877 500 N
20-001877 300 S
24-002366 500 N
24-002366 300 S
20-001718 500 N
20-001718 400 S
21-002265 500 N
21-002265 400 S
19-001544 550 N
19-001544 500 S
20-002103 600 N
20-002103 400 S
